[2025-12-10 23:40:57,407][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe8, 2) INDIRECT (stack, 0xffffffffffffffe8, 2) , (const, 0x8c, 4)
[2025-12-10 23:40:57,407][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffec, 4) INDIRECT (register, 0x2c, 4) , (const, 0x8c, 4)
[2025-12-10 23:40:57,407][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xfffffffffffffff0, 4) INDIRECT (register, 0x20, 4) , (const, 0x8c, 4)
[2025-12-10 23:40:57,407][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xfffffffffffffff4, 4) INDIRECT (stack, 0xfffffffffffffff4, 4) , (const, 0x8c, 4)
[2025-12-10 23:40:57,407][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x20, 4) COPY (const, 0x0, 4)
[2025-12-10 23:40:57,408][INFO    ][ghost.get_symbol] (const, 0x0, 4)no high no sym
[2025-12-10 23:40:57,408][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (register, 0x20, 4) COPY (const, 0x0, 4), in_vars: [], consts: [(const, 0x0, 4)]
[2025-12-10 23:40:57,410][INFO    ][ghost.trace_var_usage] Processing pcode op:  ---  RETURN (const, 0x0, 4) , (register, 0x20, 4)
[2025-12-10 23:40:57,414][INFO    ][ghost.get_instance_at] Get FUNC: 0x00010334 getenv(Param1) <=> pcVar1[4]
[2025-12-10 23:40:57,414][INFO    ][ghost.trace_var_usage] <type 'ghidra.program.model.pcode.HighSymbol'>
[2025-12-10 23:40:57,414][INFO    ][ghost.trace_var_usage] arg: UnnamedArg1,NoSym
[2025-12-10 23:40:57,414][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,415][INFO    ][ghost.trace_var_usage] 000:None,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,415][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] <type 'ghidra.program.model.pcode.HighSymbol'>
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] arg: local_c[4],local_c
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] 000:ghidra.program.model.pcode.HighSymbol@3a6ab683,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,417][INFO    ][ghost.trace_var_usage] arg: UnnamedArg2,NoSym
[2025-12-10 23:40:57,418][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,418][INFO    ][ghost.trace_var_usage] 000:None,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,418][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,420][INFO    ][ghost.trace_var_usage] arg: UnnamedArg3,NoSym
[2025-12-10 23:40:57,420][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,420][INFO    ][ghost.trace_var_usage] 000:None,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,421][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,421][INFO    ][ghost.trace_var_usage] <type 'ghidra.program.model.pcode.HighSymbol'>
[2025-12-10 23:40:57,421][INFO    ][ghost.trace_var_usage] arg: local_20[12],local_20
[2025-12-10 23:40:57,421][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,421][INFO    ][ghost.trace_var_usage] 000:ghidra.program.model.pcode.HighSymbol@1ebbe534,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,423][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,423][INFO    ][ghost.trace_var_usage] arg: local_14[4],local_14
